"";"ANNEE";"DEPARTEMENT";"Age";"Qmort";"Survie";"EdVieRes"
"336";1806;"CORSE";55;0,1239;0,313;5,87
"337";1806;"CORSE";60;0,1747;0,274;4,305
"338";1806;"CORSE";65;0,2476;0,226;2,935
"339";1806;"CORSE";70;0,3534;0,17;1,805
"340";1806;"CORSE";75;0,47;0,11;0,955
"341";1806;"CORSE";80;0,6031;0,058;0,405
"342";1806;"CORSE";85;0,7587;0,023;0,115
"343";1806;"COTE-D-OR";0;0,2393;1;47,415
"344";1806;"COTE-D-OR";10;0,02;0,738;38,61
"345";1806;"COTE-D-OR";15;0,0295;0,723;34,92
"346";1806;"COTE-D-OR";20;0,0386;0,702;31,305
"347";1806;"COTE-D-OR";25;0,0419;0,675;27,795
"348";1806;"COTE-D-OR";30;0,0448;0,647;24,42
"349";1806;"COTE-D-OR";35;0,0484;0,618;21,185
"350";1806;"COTE-D-OR";40;0,0524;0,588;18,095
"351";1806;"COTE-D-OR";45;0,0589;0,557;15,155
"352";1806;"COTE-D-OR";5;0,0298;0,761;42,415
"353";1806;"COTE-D-OR";50;0,0749;0,524;12,37
"354";1806;"COTE-D-OR";55;0,1012;0,485;9,75
"355";1806;"COTE-D-OR";60;0,1462;0,436;7,325
"356";1806;"COTE-D-OR";65;0,2126;0,372;5,145
"357";1806;"COTE-D-OR";70;0,313;0,293;3,285
"358";1806;"COTE-D-OR";75;0,432;0,201;1,82
"359";1806;"COTE-D-OR";80;0,5734;0,114;0,815
"360";1806;"COTE-D-OR";85;0,738;0,049;0,245
"361";1806;"COTES-DU-NORD";0;0,3511;1;37,95
"362";1806;"COTES-DU-NORD";10;0,0297;0,619;29,705
"363";1806;"COTES-DU-NORD";15;0,0422;0,6;26,61
"364";1806;"COTES-DU-NORD";20;0,0543;0,575;23,61
"365";1806;"COTES-DU-NORD";25;0,0582;0,544;20,735
"366";1806;"COTES-DU-NORD";30;0,0615;0,512;18,015
"367";1806;"COTES-DU-NORD";35;0,0645;0,48;15,455
"368";1806;"COTES-DU-NORD";40;0,0673;0,45;13,055
"369";1806;"COTES-DU-NORD";45;0,072;0,419;10,805
"370";1806;"COTES-DU-NORD";5;0,0468;0,649;32,95
"371";1806;"COTES-DU-NORD";50;0,0889;0,389;8,71
